JobIDRaw|Start|Elapsed|AllocTRES|State
3657146|2025-02-22T23:18:42|00:00:56|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657146.batch|2025-02-22T23:18:42|00:00:56|cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657146.extern|2025-02-22T23:18:42|00:00:56|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657148|2025-02-22T23:20:33|00:07:54|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657148.batch|2025-02-22T23:20:33|00:07:54|cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657148.extern|2025-02-22T23:20:33|00:07:54|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657153|2025-02-22T23:22:38|00:19:45|billing=35,cpu=4,gres/gpu:t4=1,gres/gpu=1,mem=72000M,node=1|COMPLETED
3657153.batch|2025-02-22T23:22:38|00:19:45|cpu=4,gres/gpu:t4=1,gres/gpu=1,mem=72000M,node=1|COMPLETED
3657153.extern|2025-02-22T23:22:38|00:19:45|billing=35,cpu=4,gres/gpu:t4=1,gres/gpu=1,mem=72000M,node=1|COMPLETED
3657190|2025-02-22T23:50:20|00:05:55|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657190.batch|2025-02-22T23:50:20|00:05:55|cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657190.extern|2025-02-22T23:50:20|00:05:55|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657217|2025-02-22T23:55:19|00:05:18|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657217.batch|2025-02-22T23:55:19|00:05:18|cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657217.extern|2025-02-22T23:55:19|00:05:18|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657233|2025-02-23T00:15:10|00:06:01|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657233.batch|2025-02-23T00:15:10|00:06:01|cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657233.extern|2025-02-23T00:15:10|00:06:01|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657236|2025-02-23T00:19:10|00:19:56|billing=35,cpu=4,gres/gpu:t4=1,gres/gpu=1,mem=72000M,node=1|COMPLETED
3657236.batch|2025-02-23T00:19:10|00:19:56|cpu=4,gres/gpu:t4=1,gres/gpu=1,mem=72000M,node=1|COMPLETED
3657236.extern|2025-02-23T00:19:10|00:19:56|billing=35,cpu=4,gres/gpu:t4=1,gres/gpu=1,mem=72000M,node=1|COMPLETED
3657265|2025-02-23T00:41:42|00:06:47|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657265.batch|2025-02-23T00:41:42|00:06:47|cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657265.extern|2025-02-23T00:41:42|00:06:47|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657373|2025-02-23T00:56:02|00:00:27|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|FAILED
3657373.batch|2025-02-23T00:56:02|00:00:27|cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|FAILED
3657373.extern|2025-02-23T00:56:02|00:00:28|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657374|2025-02-23T00:56:48|00:01:16|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|FAILED
3657374.batch|2025-02-23T00:56:48|00:01:16|cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|FAILED
3657374.extern|2025-02-23T00:56:48|00:01:17|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657376|2025-02-23T00:59:12|00:07:21|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657376.batch|2025-02-23T00:59:12|00:07:21|cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657376.extern|2025-02-23T00:59:12|00:07:21|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657379|2025-02-23T01:12:31|00:03:44|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657379.batch|2025-02-23T01:12:31|00:03:44|cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657379.extern|2025-02-23T01:12:31|00:03:45|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657381|2025-02-23T01:22:35|00:01:41|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657381.batch|2025-02-23T01:22:35|00:01:41|cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657381.extern|2025-02-23T01:22:35|00:01:41|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657390|2025-02-23T01:40:27|00:01:31|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|FAILED
3657390.batch|2025-02-23T01:40:27|00:01:31|cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|FAILED
3657390.extern|2025-02-23T01:40:27|00:01:31|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657393|2025-02-23T01:59:55|00:04:28|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|FAILED
3657393.batch|2025-02-23T01:59:55|00:04:28|cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|FAILED
3657393.extern|2025-02-23T01:59:55|00:04:29|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
